File copied : /root/sailfish/code/static_analysis/analysis/XBORNID.sol
processing /root/sailfish/code/static_analysis/analysis/XBORNID.sol
Installing solc '0.4.26'...
Version '0.4.26' installed.
Switched global version to 0.4.26
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function onlyWhitelist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for onlyPayloadSize
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for onlyPayloadSize
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function onlyPayloadSize
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for distr
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for distr
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function distr
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for transfer
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for transfer
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function transfer
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for transferFrom
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for transferFrom
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function transferFrom
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for burn
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for burn
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function burn
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for slitherConstructorVariables
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for slitherConstructorVariables
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function slitherConstructorVariables
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for getTokenBalance
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for getTokenBalance
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function getTokenBalance
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for withdrawForeignTokens
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for withdrawForeignTokens
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function withdrawForeignTokens
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for transferOwnership
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for transferOwnership
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function transferOwnership
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for finishDistribution
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for finishDistribution
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function finishDistribution
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for withdraw
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for withdraw
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | State variable assignement do not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function withdraw
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for getTokens
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for getTokens
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function getTokens
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Generating return summary for fallback
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Return summary generated for fallback
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Range graph generated
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Processed function fallback
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Value Range Analysis took 0.013638 seconds
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Value Range Analysis finished
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Storage dependency graph compostion started!
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Storage dependency graph compostion finished!
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Dependency detection started!
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Dependency detection finished!
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Static Analysis took 1.477204 seconds
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Dependency does not exist
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Symbolic execution is not needed!
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Analysis finished!
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Analysis took 1.477385 seconds
[INFO] | 2023-12-05 04:30:13 AM | analyzer.XBORNID | Analysis finished at: 2023-12-05 04:30:13 AM
[36m[#] Analysing started: XBORNID.sol[0m
/root/.solc-select/artifacts/solc-0.4.26
[36m[#] Interprocedural CFG generation started for modifier canDistr[0m
[36m[#] Interprocedural CFG generated for modifer canDistr[0m
[36m[#] Interprocedural CFG generation started for modifier onlyOwner[0m
[36m[#] Interprocedural CFG generated for modifer onlyOwner[0m
[36m[#] Interprocedural CFG generation started for modifier onlyWhitelist[0m
[36m[#] Interprocedural CFG generated for modifer onlyWhitelist[0m
[36m[#] Interprocedural CFG generation started for modifier onlyPayloadSize[0m
[36m[#] Interprocedural CFG generated for modifer onlyPayloadSize[0m
[36m[#] Interprocedural CFG generation started for balanceOf[0m
[36m[#] Interprocedural CFG generated for balanceOf[0m
[36m[#] Interprocedural CFG generation started for transfer[0m
[36m[#] Interprocedural CFG generated for transfer[0m
[36m[#] Interprocedural CFG generation started for balanceOf[0m
[36m[#] Interprocedural CFG generated for balanceOf[0m
[36m[#] Interprocedural CFG generation started for transfer[0m
[36m[#] Interprocedural CFG generated for transfer[0m
[36m[#] Interprocedural CFG generation started for balanceOf[0m
[36m[#] Interprocedural CFG generated for balanceOf[0m
[36m[#] Interprocedural CFG generation started for transfer[0m
[36m[#] Interprocedural CFG generated for transfer[0m
[36m[#] Interprocedural CFG generation started for allowance[0m
[36m[#] Interprocedural CFG generated for allowance[0m
[36m[#] Interprocedural CFG generation started for transferFrom[0m
[36m[#] Interprocedural CFG generated for transferFrom[0m
